,序号,商品,销量,标签,二级类
40,41,600ml雪碧,51,滞销,碳酸饮料
41,42,80g香飘飘椰果奶茶原味,17,滞销,茶饮料
42,43,80g香飘飘椰果奶茶麦香味,13,滞销,茶饮料
43,44,东鹏特饮,488,,功能饮料
44,45,乐虎,8,滞销,功能饮料
45,46,乐虎（380ml）,12,滞销,功能饮料
46,47,伊利优酸乳,179,滞销,乳制品
47,48,伊利纯牛奶,175,滞销,乳制品
48,49,优益C活菌型乳酸菌饮品,5,滞销,乳制品
49,50,健能酸奶,8,滞销,乳制品
50,51,农夫果园,4,滞销,果蔬饮料
51,52,冰糖雪梨,59,滞销,果蔬饮料
52,53,冰红茶（罐）,6,滞销,茶饮料
53,54,加多宝,6,滞销,茶饮料
54,55,可乐可乐,15,滞销,碳酸饮料
55,56,可口可乐330ml,212,滞销,碳酸饮料
56,57,可口可乐330ml（罐）,6,滞销,碳酸饮料
57,58,可口可乐最新款,116,滞销,碳酸饮料
58,59,可口可乐（500ml）,57,滞销,碳酸饮料
59,60,商品1,2,滞销,其他
60,61,商品14,1,滞销,其他
61,62,商品2,2,滞销,其他
62,63,天地一号,8,滞销,果蔬饮料
63,64,娃哈哈红枣酸奶,1,滞销,乳制品
64,65,安慕希酸奶,11,滞销,乳制品
65,66,小茗同学,2,滞销,茶饮料
66,67,小茗同学冷泡茶（乳酸菌味）,1,滞销,茶饮料
67,68,小茗同学（青柠红茶）,2,滞销,茶饮料
68,69,尖叫,15,滞销,功能饮料
69,70,康师傅矿泉水,17,滞销,水
70,71,怡宝,38,滞销,水
71,72,怡宝矿泉水,3,滞销,水
72,73,怡宝纯净水,1342,热销,水
73,74,拿铁咖啡（统一）,1,滞销,咖啡
74,75,旺仔牛奶,6,滞销,乳制品
75,76,旺仔牛奶145ml,4,滞销,乳制品
76,77,果粒橙,245,滞销,果蔬饮料
77,78,椰树牌椰汁,17,滞销,植物蛋白
78,79,燕塘原味酸奶,4,滞销,乳制品
79,80,燕塘甜牛奶,11,滞销,乳制品
80,81,燕塘红枣牛奶,9,滞销,乳制品
81,82,王老吉（500ml）,310,滞销,茶饮料
82,83,王老吉（罐）,201,滞销,茶饮料
83,84,珠江纯生啤酒,4,滞销,功能饮料
84,85,百事可乐330ml,4,滞销,碳酸饮料
85,86,百事可乐500ml,102,滞销,碳酸饮料
86,87,益力多100g*5瓶,8,滞销,乳制品
87,88,红牛,198,滞销,功能饮料
88,89,经典奶茶,12,滞销,茶饮料
89,90,统一冰红茶,334,滞销,茶饮料
90,91,统一绿茶,209,滞销,茶饮料
91,92,统一阿萨姆奶茶,6,滞销,茶饮料
92,93,维他原味豆奶,17,滞销,植物蛋白
93,94,维他奶,93,滞销,植物蛋白
94,95,维他奶（巧克力味）,4,滞销,植物蛋白
95,96,维他柠檬茶,79,滞销,茶饮料
96,97,维他柠檬茶330ml（罐）,3,滞销,茶饮料
97,98,美年达（罐）,22,滞销,碳酸饮料
98,99,美汁源果粒橙,13,滞销,果蔬饮料
99,100,脉动,431,滞销,功能饮料
100,101,脉动（椰子菠萝口味）,1,滞销,功能饮料
101,102,脉动（青柠）,9,滞销,功能饮料
102,103,芦荟汁,5,滞销,果蔬饮料
103,104,芬达330ml,198,滞销,碳酸饮料
104,105,茉莉蜜茶,35,滞销,茶饮料
105,106,营养快线,425,滞销,乳制品
106,107,银鹭八宝粥,120,滞销,方便速食
107,108,阿萨姆奶茶,457,滞销,茶饮料
108,109,阿萨姆煎茶奶绿,19,滞销,茶饮料
109,110,雀巢咖啡,33,滞销,咖啡
110,111,雪力矿泉水,7,滞销,水
111,112,雪碧,3,滞销,碳酸饮料
112,113,雪碧330ml,103,滞销,碳酸饮料
113,114,雪碧最新款,139,滞销,碳酸饮料
114,115,雪碧（500ml）,137,滞销,碳酸饮料
