,实际金额,实际金额,实际金额
2017-06-23,55.0,92.5,147.5
2017-06-24,57.4,98.5,155.9
2017-06-25,66.7,84.0,150.7
2017-06-26,46.89999999999999,75.0,121.89999999999999
2017-06-27,45.0,46.5,91.5
2017-06-28,44.2,78.0,122.19999999999999
2017-06-29,70.69999999999999,62.0,132.7
2017-06-30,35.0,127.0,162.0
2017-07-01,76.0,30.0,106.0
2017-07-02,18.8,45.0,63.8
2017-07-03,11.5,13.0,24.5
2017-07-04,38.5,100.0,138.5
2017-07-05,18.1,27.0,45.099999999999994
2017-07-06,14.5,0.0,14.5
2017-07-07,51.7,19.5,71.19999999999999
2017-07-08,15.5,20.5,36.0
2017-07-09,0.0,2.0,2.0
2017-07-10,0.0,4.0,4.0
2017-07-11,13.5,12.5,26.0
2017-07-16,0.0,6.5,6.5
2017-07-17,1.0,0.0,1.0
2017-07-18,4.5,7.0,11.5
2017-07-19,11.8,8.5,20.3
2017-07-20,5.0,10.5,15.5
2017-07-21,0.0,3.0,3.0
2017-07-22,0.0,7.0,7.0
2017-07-23,8.0,7.0,15.0
2017-07-24,106.9,97.3,204.2
2017-07-25,29.6,39.0,68.6
2017-07-26,13.5,40.0,53.5
2017-07-27,33.5,63.5,97.0
2017-07-28,11.0,21.5,32.5
2017-07-29,1.8,9.5,11.3
2017-07-30,45.199999999999996,107.0,152.20000000000002
2017-07-31,40.1,70.0,110.1
2017-08-01,10.5,141.5,152.0
2017-08-02,0.0,64.0,64.0
2017-08-03,12.0,31.0,43.0
2017-08-04,19.5,70.0,89.5
2017-08-05,4.0,45.5,49.5
2017-08-06,6.5,54.5,61.0
2017-08-07,21.5,29.5,51.0
2017-08-08,22.6,90.0,112.6
2017-08-09,1.0,45.0,46.0
2017-08-10,12.0,20.5,32.5
2017-08-11,6.0,81.5,87.5
2017-08-12,21.0,40.0,61.0
2017-08-13,31.0,59.0,90.0
2017-08-14,16.5,67.0,83.5
2017-08-15,18.5,60.5,79.0
2017-08-16,8.5,50.5,59.0
2017-08-17,27.0,100.0,127.0
2017-08-18,57.5,131.5,189.0
2017-08-19,28.5,63.0,91.5
2017-08-20,22.0,151.3,173.3
2017-08-21,2.0,48.5,50.5
2017-08-22,2.0,3.5,5.5
2017-08-23,14.0,36.0,50.0
2017-08-24,18.0,42.5,60.5
2017-08-25,36.0,75.5,111.5
2017-08-26,16.5,34.5,51.0
2017-08-27,16.5,54.0,70.5
2017-08-28,19.0,60.0,79.0
2017-08-29,13.0,42.0,55.0
2017-08-30,28.6,42.3,70.9
2017-08-31,5.0,20.0,25.0
2017-09-01,19.5,57.5,77.0
2017-09-02,16.4,51.5,67.9
2017-09-03,11.0,76.0,87.0
2017-09-04,26.4,35.0,61.4
2017-09-05,3.0,24.0,27.0
2017-09-06,43.0,77.8,120.8
2017-09-07,18.0,80.5,98.5
2017-09-08,26.5,114.0,140.5
2017-09-09,34.5,62.0,96.5
2017-09-10,25.0,72.5,97.5
2017-09-11,36.0,93.5,129.5
2017-09-12,9.6,62.5,72.1
2017-09-13,11.3,78.0,89.3
2017-09-14,35.6,124.0,159.6
2017-09-15,24.0,114.0,138.0
2017-09-16,34.0,101.5,135.5
2017-09-17,85.6,198.5,284.1
2017-09-18,40.5,70.3,110.8
2017-09-19,30.0,34.0,64.0
2017-09-20,25.0,112.5,137.5
2017-09-21,26.0,95.0,121.0
2017-09-22,71.0,150.0,221.0
2017-09-23,25.0,72.0,97.0
2017-09-24,48.4,165.5,213.9
2017-09-25,59.5,24.5,84.0
2017-09-26,5.6,20.0,25.6
2017-09-27,87.5,125.5,213.0
2017-09-28,32.6,138.0,170.6
2017-09-29,36.4,156.5,192.9
2017-09-30,137.3,162.3,299.6
2017-10-01,15.0,34.5,49.5
2017-10-02,79.2,38.5,117.69999999999999
2017-10-03,64.0,29.8,93.8
2017-10-04,21.6,102.0,123.6
2017-10-05,32.099999999999994,59.0,91.1
2017-10-06,43.699999999999996,97.5,141.2
2017-10-07,71.2,75.8,147.0
2017-10-08,18.0,69.0,87.0
2017-10-09,45.8,77.5,123.3
2017-10-10,75.9,93.0,168.9
2017-10-11,51.199999999999996,104.0,155.2
2017-10-12,108.6,131.0,239.6
2017-10-13,94.19999999999999,56.0,150.2
2017-10-14,74.6,135.0,209.6
2017-10-15,67.5,88.5,156.0
2017-10-16,67.3,95.0,162.3
2017-10-17,59.2,141.0,200.2
2017-10-18,42.3,162.0,204.3
2017-10-19,56.2,95.8,152.0
2017-10-20,60.5,147.5,208.0
2017-10-21,65.5,103.5,169.0
2017-10-22,31.0,64.5,95.5
2017-10-23,49.5,31.0,80.5
2017-10-24,22.3,83.0,105.3
2017-10-25,58.3,67.3,125.6
2017-10-26,53.8,109.0,162.8
2017-10-27,71.30000000000001,116.0,187.29999999999998
2017-10-28,64.1,182.0,246.1
2017-10-29,106.6,149.0,255.60000000000002
2017-10-30,44.699999999999996,92.0,136.70000000000002
2017-10-31,32.300000000000004,29.5,61.800000000000004
2017-11-01,44.0,177.8,221.8
2017-11-02,17.5,99.0,116.5
2017-11-03,5.0,34.5,39.5
2017-11-04,41.0,146.5,187.5
2017-11-05,82.8,117.0,199.8
2017-11-06,54.0,164.0,218.00000000000003
2017-11-07,90.3,184.5,274.8
2017-11-08,75.4,181.4,256.79999999999995
2017-11-09,30.0,150.0,180.0
2017-11-10,25.5,26.5,52.0
2017-11-11,75.3,132.5,207.8
2017-11-12,68.3,149.0,217.3
2017-11-13,136.2,199.0,335.2
2017-11-14,55.3,247.5,302.8
2017-11-15,91.39999999999999,192.5,283.9
2017-11-16,59.6,191.0,250.6
2017-11-17,43.0,118.0,161.0
2017-11-18,134.5,206.5,341.0
2017-11-19,75.5,200.5,276.0
2017-11-20,105.5,242.60000000000002,348.1
2017-11-21,1.0,24.5,25.5
2017-11-22,0.0,6.5,6.5
2017-11-23,0.0,6.5,6.5
2017-11-24,0.0,9.5,9.5
2017-11-25,0.0,19.0,19.0
2017-11-26,0.0,12.0,12.0
2017-11-27,6.0,22.5,28.5
2017-11-28,11.0,31.5,42.5
2017-11-29,12.0,29.0,41.0
2017-11-30,0.0,12.0,12.0
2017-12-01,104.09999999999998,127.3,231.40000000000003
2017-12-02,60.3,231.0,291.3
2017-12-03,151.09999999999997,178.5,329.6
2017-12-04,182.8,203.5,386.3
2017-12-05,163.60000000000002,223.5,387.1
2017-12-06,131.7,128.0,259.70000000000005
2017-12-07,136.0,235.0,371.0
2017-12-08,60.2,146.0,206.2
2017-12-09,64.39999999999999,181.5,245.9
2017-12-10,102.7,161.0,263.7
2017-12-11,163.7,155.5,319.2
2017-12-12,67.4,129.0,196.39999999999992
2017-12-13,9.6,129.8,139.4
2017-12-14,37.8,205.5,243.3
2017-12-15,22.5,70.0,92.5
2017-12-16,55.0,107.5,162.5
2017-12-17,32.5,43.5,76.0
2017-12-18,46.5,125.0,171.5
2017-12-19,22.0,61.0,83.0
2017-12-20,29.5,106.5,136.0
2017-12-21,3.0,67.0,70.0
2017-12-22,32.5,59.5,92.0
2017-12-23,43.0,179.5,222.5
2017-12-24,36.1,123.0,159.1
2017-12-25,50.0,141.5,191.5
2017-12-26,43.0,112.0,155.0
2017-12-27,58.1,117.0,175.1
2017-12-28,23.200000000000003,119.3,142.5
2017-12-29,11.0,7.0,18.0
2017-12-30,13.0,18.0,31.0
2017-12-31,17.5,75.0,92.5
All,12149.699999999992,21093.599999999988,33243.299999999996
