,序号,商品,销量,标签,二级类
60,61,商品2,1,滞销,其他
61,62,安慕希酸奶,5,滞销,乳制品
62,63,小茗同学,10,滞销,茶饮料
63,64,小茗同学冷泡茶（乳酸菌味）,1,滞销,茶饮料
64,65,小茗同学（青柠红茶）,1,滞销,茶饮料
65,66,尖叫,67,滞销,功能饮料
66,67,康师傅矿泉水,54,滞销,水
67,68,怡宝,37,滞销,水
68,69,怡宝矿泉水,19,滞销,水
69,70,怡宝纯净水,1705,热销,水
70,71,拿铁咖啡（统一）,8,滞销,咖啡
71,72,旺仔牛奶,47,滞销,乳制品
72,73,旺仔牛奶145ml,29,滞销,乳制品
73,74,果粒橙,470,滞销,果蔬饮料
74,75,椰树牌椰汁,54,滞销,植物蛋白
75,76,燕塘原味酸奶,29,滞销,乳制品
76,77,燕塘甜牛奶,39,滞销,乳制品
77,78,燕塘红枣牛奶,47,滞销,乳制品
78,79,王老吉（500ml）,417,滞销,茶饮料
79,80,王老吉（罐）,410,滞销,茶饮料
80,81,珠江纯生啤酒,1,滞销,功能饮料
81,82,百事可乐330ml,2,滞销,碳酸饮料
82,83,百事可乐500ml,14,滞销,碳酸饮料
83,84,益力多100g*5瓶,34,滞销,乳制品
84,85,红牛,289,滞销,功能饮料
85,86,经典奶茶,2,滞销,茶饮料
86,87,统一冰红茶,626,,茶饮料
87,88,统一绿茶,490,滞销,茶饮料
88,89,统一阿萨姆奶茶,38,滞销,茶饮料
89,90,维他原味豆奶,93,滞销,植物蛋白
90,91,维他奶,132,滞销,植物蛋白
91,92,维他奶黑豆奶饮品,1,滞销,植物蛋白
92,93,维他奶（巧克力味）,41,滞销,植物蛋白
93,94,维他柠檬茶,169,滞销,茶饮料
94,95,维他柠檬茶330ml（罐）,2,滞销,茶饮料
95,96,美年达（罐）,133,滞销,碳酸饮料
96,97,美汁源果粒橙,27,滞销,果蔬饮料
97,98,脉动,996,,功能饮料
98,99,脉动（椰子菠萝口味）,9,滞销,功能饮料
99,100,脉动（青柠）,44,滞销,功能饮料
100,101,芦荟汁,44,滞销,果蔬饮料
101,102,芬达330ml,382,滞销,碳酸饮料
102,103,茉莉蜜茶,83,滞销,茶饮料
103,104,营养快线,805,,乳制品
104,105,银鹭八宝粥,220,滞销,方便速食
105,106,阿萨姆奶茶,792,,茶饮料
106,107,阿萨姆煎茶奶绿,11,滞销,茶饮料
107,108,雀巢咖啡,97,滞销,咖啡
108,109,雪力矿泉水,35,滞销,水
109,110,雪碧,38,滞销,碳酸饮料
110,111,雪碧330ml,173,滞销,碳酸饮料
111,112,雪碧最新款,309,滞销,碳酸饮料
112,113,雪碧（500ml）,172,滞销,碳酸饮料
