,序号,商品,销量,标签,二级类
54,55,可乐可乐,29,滞销,碳酸饮料
55,56,可口可乐330ml,219,滞销,碳酸饮料
56,57,可口可乐330ml（罐）,3,滞销,碳酸饮料
57,58,可口可乐最新款,125,滞销,碳酸饮料
58,59,可口可乐（500ml）,60,滞销,碳酸饮料
59,60,商品14,1,滞销,其他
60,61,商品2,3,滞销,其他
61,62,天地一号,3,滞销,果蔬饮料
62,63,娃哈哈红枣酸奶,2,滞销,乳制品
63,64,安慕希酸奶,4,滞销,乳制品
64,65,小茗同学,12,滞销,茶饮料
65,66,小茗同学冷泡茶（乳酸菌味）,5,滞销,茶饮料
66,67,小茗同学（青柠红茶）,3,滞销,茶饮料
67,68,尖叫,22,滞销,功能饮料
68,69,康师傅矿泉水,24,滞销,水
69,70,怡宝,182,滞销,水
70,71,怡宝矿泉水,7,滞销,水
71,72,怡宝纯净水,999,热销,水
72,73,拿铁咖啡（统一）,2,滞销,咖啡
73,74,旺仔牛奶,12,滞销,乳制品
74,75,旺仔牛奶145ml,16,滞销,乳制品
75,76,果粒橙,328,滞销,果蔬饮料
76,77,椰树牌椰汁,24,滞销,植物蛋白
77,78,燕塘原味酸奶,29,滞销,乳制品
78,79,燕塘甜牛奶,21,滞销,乳制品
79,80,燕塘红枣牛奶,16,滞销,乳制品
80,81,王老吉（500ml）,238,滞销,茶饮料
81,82,王老吉（罐）,402,,茶饮料
82,83,珠江纯生啤酒,5,滞销,功能饮料
83,84,百事可乐330ml,2,滞销,碳酸饮料
84,85,百事可乐500ml,15,滞销,碳酸饮料
85,86,益力多100g*5瓶,4,滞销,乳制品
86,87,红牛,231,滞销,功能饮料
87,88,统一冰红茶,394,,茶饮料
88,89,统一绿茶,246,滞销,茶饮料
89,90,统一阿萨姆奶茶,12,滞销,茶饮料
90,91,维他原味豆奶,39,滞销,植物蛋白
91,92,维他奶,79,滞销,植物蛋白
92,93,维他奶黑豆奶饮品,2,滞销,植物蛋白
93,94,维他奶（巧克力味）,10,滞销,植物蛋白
94,95,维他柠檬茶,73,滞销,茶饮料
95,96,维他柠檬茶330ml（罐）,13,滞销,茶饮料
96,97,美年达（罐）,7,滞销,碳酸饮料
97,98,美汁源果粒橙,26,滞销,果蔬饮料
98,99,脉动,759,热销,功能饮料
99,100,脉动（椰子菠萝口味）,2,滞销,功能饮料
100,101,脉动（青柠）,18,滞销,功能饮料
101,102,芦荟汁,1,滞销,果蔬饮料
102,103,芬达330ml,271,滞销,碳酸饮料
103,104,茉莉蜜茶,70,滞销,茶饮料
104,105,营养快线,435,,乳制品
105,106,银鹭八宝粥,166,滞销,方便速食
106,107,阿萨姆奶茶,456,,茶饮料
107,108,阿萨姆煎茶奶绿,76,滞销,茶饮料
108,109,雀巢咖啡,30,滞销,咖啡
109,110,雪力矿泉水,2,滞销,水
110,111,雪碧,8,滞销,碳酸饮料
111,112,雪碧330ml,70,滞销,碳酸饮料
112,113,雪碧最新款,259,滞销,碳酸饮料
113,114,雪碧（500ml）,82,滞销,碳酸饮料
