,实际金额,实际金额,实际金额
2017-06-19,95.3,69.0,164.3
2017-06-20,86.4,123.0,209.4
2017-06-21,94.7,207.5,302.20000000000005
2017-06-22,66.3,249.5,315.8
2017-06-23,125.89999999999999,248.3,374.20000000000005
2017-06-24,44.7,214.5,259.2
2017-06-25,60.6,156.3,216.9
2017-06-26,38.6,115.0,153.6
2017-06-27,83.6,127.0,210.60000000000002
2017-06-28,119.3,120.0,239.29999999999998
2017-06-29,88.0,140.0,228.0
2017-06-30,86.4,207.5,293.9
2017-07-01,48.5,17.0,65.5
2017-07-02,34.800000000000004,4.5,39.3
2017-07-03,11.3,14.0,25.3
2017-07-04,34.400000000000006,22.0,56.4
2017-07-05,22.0,19.0,41.0
2017-07-07,7.1,9.5,16.6
2017-07-08,12.0,15.5,27.5
2017-07-09,0.0,5.0,5.0
2017-07-10,0.0,2.5,2.5
2017-07-11,3.0,3.0,6.0
2017-07-13,13.0,3.5,16.5
2017-07-14,0.0,11.5,11.5
2017-07-15,7.9,0.0,7.9
2017-07-16,2.0,4.0,6.0
2017-07-17,0.0,3.0,3.0
2017-07-18,18.5,7.5,26.0
2017-07-19,8.5,2.0,10.5
2017-07-20,3.0,12.5,15.5
2017-07-21,0.0,4.5,4.5
2017-07-22,0.0,5.0,5.0
2017-07-23,0.0,13.5,13.5
2017-07-24,68.9,123.5,192.4
2017-07-25,48.400000000000006,37.5,85.9
2017-07-26,63.0,59.3,122.3
2017-07-27,78.5,132.3,210.8
2017-07-28,16.3,83.5,99.8
2017-07-29,6.0,3.5,9.5
2017-07-30,59.6,104.5,164.1
2017-07-31,101.5,127.3,228.79999999999998
2017-08-01,0.0,54.6,54.6
2017-08-02,6.5,56.6,63.1
2017-08-03,26.0,59.0,85.0
2017-08-04,23.5,105.0,128.5
2017-08-05,3.5,79.0,82.5
2017-08-06,29.0,64.0,93.0
2017-08-07,26.4,84.5,110.9
2017-08-08,25.5,89.5,115.0
2017-08-09,20.5,61.0,81.5
2017-08-10,0.0,40.5,40.5
2017-08-11,32.3,65.0,97.3
2017-08-12,22.0,68.0,90.0
2017-08-13,31.0,74.7,105.7
2017-08-14,14.1,89.8,103.9
2017-08-15,16.7,89.5,106.2
2017-08-16,21.2,42.0,63.2
2017-08-17,60.3,121.5,181.8
2017-08-18,41.6,271.2,312.8
2017-08-19,30.5,111.0,141.5
2017-08-20,88.4,206.5,294.9
2017-08-21,45.5,103.0,148.5
2017-08-22,15.5,84.5,100.0
2017-08-23,18.0,85.0,103.0
2017-08-24,39.0,115.0,154.0
2017-08-25,24.5,55.0,79.5
2017-08-26,54.0,27.0,81.0
2017-08-27,22.0,70.5,92.5
2017-08-28,24.0,91.5,115.5
2017-08-29,5.0,78.5,83.5
2017-08-30,20.5,93.69999999999999,114.19999999999999
2017-08-31,13.0,79.5,92.5
2017-09-01,53.5,72.0,125.5
2017-09-02,62.0,94.5,156.5
2017-09-03,154.5,164.5,319.0
2017-09-04,87.0,61.5,148.5
2017-09-05,71.8,101.5,173.3
2017-09-06,109.0,124.0,233.0
2017-09-07,45.3,175.3,220.6
2017-09-08,93.9,158.5,252.4
2017-09-09,53.5,108.5,162.0
2017-09-10,76.8,114.5,191.3
2017-09-11,150.6,153.3,303.90000000000003
2017-09-12,31.8,75.5,107.3
2017-09-13,44.7,131.5,176.2
2017-09-14,65.3,122.0,187.3
2017-09-15,127.1,204.0,331.1
2017-09-16,139.6,157.0,296.6
2017-09-17,141.4,318.6,460.0
2017-09-18,37.0,111.5,148.5
2017-09-19,6.6,79.0,85.6
2017-09-20,131.5,147.5,279.0
2017-09-21,107.8,164.5,272.3
2017-09-22,139.6,198.0,337.6
2017-09-23,168.3,155.5,323.8
2017-09-24,140.09999999999997,258.5,398.6
2017-09-25,57.5,167.5,225.0
2017-09-26,25.0,48.0,73.0
2017-09-27,97.89999999999999,174.3,272.2
2017-09-28,63.0,189.5,252.5
2017-09-29,87.69999999999999,256.5,344.20000000000005
2017-09-30,101.7,248.8,350.50000000000006
2017-10-01,35.5,12.0,47.5
2017-10-02,70.6,65.8,136.4
2017-10-03,42.10000000000001,50.5,92.60000000000001
2017-10-04,82.19999999999999,26.5,108.69999999999999
2017-10-05,48.6,51.0,99.6
2017-10-06,70.1,117.3,187.39999999999998
2017-10-07,44.8,101.0,145.8
2017-10-08,28.3,79.0,107.3
2017-10-09,46.0,66.5,112.5
2017-10-10,90.0,156.5,246.5
2017-10-11,71.89999999999999,96.5,168.4
2017-10-12,102.0,149.3,251.3
2017-10-13,155.6,99.5,255.1
2017-10-14,131.9,181.5,313.4
2017-10-15,58.3,120.0,178.3
2017-10-16,60.7,160.5,221.2
2017-10-17,95.79999999999998,235.5,331.3
2017-10-18,78.5,171.5,250.00000000000003
2017-10-19,116.19999999999999,196.8,313.00000000000006
2017-10-20,128.7,411.0,539.7
2017-10-21,125.2,337.50000000000006,462.70000000000005
2017-10-22,78.3,138.5,216.8
2017-10-23,74.89999999999999,281.5,356.40000000000003
2017-10-24,87.5,245.5,333.0
2017-10-25,124.6,241.8,366.40000000000003
2017-10-26,139.8,343.8,483.6
2017-10-27,149.79999999999998,310.0,459.80000000000007
2017-10-28,94.69999999999999,297.5,392.20000000000005
2017-10-29,150.3,418.6,568.9000000000001
2017-10-30,125.1,289.5,414.6
2017-10-31,56.199999999999996,115.0,171.20000000000002
2017-11-01,216.7,252.5,469.2
2017-11-02,55.5,132.5,188.0
2017-11-03,15.5,83.5,99.0
2017-11-04,76.0,213.5,289.5
2017-11-05,121.6,306.8,428.40000000000003
2017-11-06,147.7,196.5,344.2
2017-11-07,254.2,291.5,545.7
2017-11-08,118.8,273.5,392.3
2017-11-09,59.2,205.0,264.2
2017-11-10,38.0,65.0,103.0
2017-11-11,155.2,228.0,383.2
2017-11-12,238.1,274.5,512.6000000000001
2017-11-13,161.0,293.3,454.30000000000007
2017-11-14,277.50000000000006,306.5,584.0000000000001
2017-11-15,272.4,377.8,650.2
2017-11-16,104.3,231.5,335.8
2017-11-17,48.5,165.5,214.0
2017-11-18,280.3,386.90000000000003,667.2
2017-11-19,154.3,401.0,555.3000000000001
2017-11-20,407.00000000000006,453.5,860.5000000000001
2017-11-21,41.5,44.5,86.0
2017-11-23,3.0,10.0,13.0
2017-11-24,0.0,24.0,24.0
2017-11-25,0.0,24.0,24.0
2017-11-26,9.8,20.5,30.3
2017-11-27,6.0,18.0,24.0
2017-11-28,6.0,32.5,38.5
2017-11-29,18.0,34.0,52.0
2017-11-30,12.0,25.5,37.5
2017-12-01,118.3,353.3,471.6
2017-12-02,143.0,228.8,371.79999999999995
2017-12-03,63.4,232.5,295.9
2017-12-04,224.09999999999997,496.5,720.6000000000001
2017-12-05,67.0,400.5,467.5
2017-12-06,94.3,101.0,195.3
2017-12-07,91.10000000000001,173.5,264.6
2017-12-08,150.1,257.0,407.1
2017-12-09,99.4,332.8,432.20000000000005
2017-12-10,108.19999999999999,160.0,268.2
2017-12-11,119.5,189.0,308.49999999999994
2017-12-12,71.5,137.5,209.0
2017-12-13,28.0,112.5,140.5
2017-12-14,20.0,98.5,118.5
2017-12-15,39.5,160.0,199.5
2017-12-16,11.5,112.0,123.5
2017-12-17,42.3,71.0,113.3
2017-12-18,69.4,278.5,347.9
2017-12-19,67.5,231.5,299.0
2017-12-20,73.1,208.5,281.6
2017-12-21,109.1,197.8,306.9
2017-12-22,17.7,170.5,188.2
2017-12-23,67.0,150.3,217.3
2017-12-24,51.2,210.5,261.7
2017-12-25,67.5,186.0,253.5
2017-12-26,49.5,181.0,230.5
2017-12-27,38.8,117.5,156.3
2017-12-28,67.3,150.0,217.3
2017-12-29,17.0,50.0,67.0
2017-12-30,37.5,11.5,49.0
2017-12-31,34.8,85.5,120.3
All,18975.099999999948,34995.19999999999,53970.3
