,序号,商品,销量,标签,二级类
74,75,王老吉（罐）,177,正常,茶饮料
75,76,百事可乐330ml,32,滞销,碳酸饮料
76,77,百事可乐500ml,5,滞销,碳酸饮料
77,78,益力多100g*5瓶,5,滞销,乳制品
78,79,红牛,180,正常,功能饮料
79,80,经典奶茶,1,滞销,茶饮料
80,81,统一冰红茶,309,热销,茶饮料
81,82,统一绿茶,188,正常,茶饮料
82,83,统一阿萨姆奶茶,3,滞销,茶饮料
83,84,维他原味豆奶,18,滞销,植物蛋白
84,85,维他奶,56,滞销,植物蛋白
85,86,维他奶（巧克力味）,2,滞销,植物蛋白
86,87,维他柠檬茶,65,滞销,茶饮料
87,88,美年达（罐）,83,滞销,碳酸饮料
88,89,美汁源果粒橙,8,滞销,果蔬饮料
89,90,脉动,283,正常,功能饮料
90,91,脉动（椰子菠萝口味）,1,滞销,功能饮料
91,92,脉动（青柠）,1,滞销,功能饮料
92,93,芦荟汁,1,滞销,果蔬饮料
93,94,芬达330ml,9,滞销,碳酸饮料
94,95,茉莉蜜茶,31,滞销,茶饮料
95,96,营养快线,319,热销,乳制品
96,97,银鹭八宝粥,83,滞销,方便速食
97,98,阿萨姆奶茶,365,热销,茶饮料
98,99,阿萨姆煎茶奶绿,14,滞销,茶饮料
99,100,雀巢咖啡,24,滞销,咖啡
100,101,雪力矿泉水,7,滞销,水
101,102,雪碧,3,滞销,碳酸饮料
102,103,雪碧330ml,19,滞销,碳酸饮料
103,104,雪碧最新款,178,正常,碳酸饮料
104,105,雪碧（500ml）,132,滞销,碳酸饮料
